CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2024-01-14 13:50:58.0237133,D:\Documents and Settings\Bob Hunter\Recent\103-0357_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\103-0357_IMG.JPG.lnk,1029,8C5FB958C881D64D0DB05588CF4C270D2B3D084E,False,2002-06-04 23:46:08.6365008,2002-06-04 23:46:08.6465152,2002-06-04 23:46:08.6465152,00:00:00.0032807
2024-01-14 13:50:58.0453903,D:\Documents and Settings\Bob Hunter\Recent\103-0365_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\103-0365_IMG.JPG.lnk,1085,CB7602DD29EA4C49D6C42A51AA24A96F655D2A79,False,2002-06-04 23:34:31.0834688,2002-06-04 23:34:31.1836128,2002-06-04 23:34:31.1836128,00:00:00.0023146
2024-01-14 13:50:58.0643157,D:\Documents and Settings\Bob Hunter\Recent\103-0396_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\103-0396_IMG.JPG.lnk,1043,EC5257BD6CA89CE43FCD7756396F4020C99826B5,False,2002-06-03 23:16:57.0217280,2002-06-03 23:16:57.0718000,2002-06-03 23:16:57.0718000,00:00:00.0023917
2024-01-14 13:50:58.0848631,D:\Documents and Settings\Bob Hunter\Recent\104-0411_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\104-0411_IMG.JPG.lnk,1144,BCEEBC9FC8664F89CF8B1C3BF94E2CBBB6782EB3,False,2002-06-03 22:23:38.5425408,2002-06-03 22:23:38.5525552,2002-06-03 22:23:38.5525552,00:00:00.0080784
2024-01-14 13:50:58.1047362,D:\Documents and Settings\Bob Hunter\Recent\104-0428_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\104-0428_IMG.JPG.lnk,1144,56CBF3765773C8CD9392463673082411A232C61E,False,2002-06-03 22:22:47.4991440,2002-06-03 22:22:47.5191728,2002-06-03 22:22:47.5191728,00:00:00.0037192
2024-01-14 13:50:58.1252088,D:\Documents and Settings\Bob Hunter\Recent\Banking Information.txt.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Banking Information.txt.lnk,528,E54AA27B2EC9CFC3B16D53CB9175BF6798ED8AD5,False,2002-06-03 21:09:09.0457200,2002-06-03 21:09:09.0657488,2002-06-03 21:09:09.0657488,00:00:00.0030520
2024-01-14 13:50:58.1440517,D:\Documents and Settings\Bob Hunter\Recent\BILLY (C).lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\BILLY (C).lnk,184,5904C92A4D05C754E490770E460B4F8215314E0A,False,2002-06-03 20:05:20.7008304,2002-06-03 20:05:20.7509024,2002-06-03 20:05:20.7509024,00:00:00.0031420
2024-01-14 13:50:58.1634069,D:\Documents and Settings\Bob Hunter\Recent\Chaser1191.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Chaser1191.lnk,536,78DA78438E75B3067FD740C9B9620F29AEA72AFD,False,2002-05-14 16:21:26.1302705,2002-05-14 17:05:50.2807872,2002-05-14 17:05:50.2807872,00:00:00.0102111
2024-01-14 13:50:58.1827333,D:\Documents and Settings\Bob Hunter\Recent\Christina Detsiwt.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Christina Detsiwt.lnk,724,6654D2CC7A86CC6CCAF1B00C380BC662B921A1DC,False,2002-06-03 23:16:57.1419008,2002-06-03 23:25:22.9291872,2002-06-03 23:25:22.9291872,00:00:00.0038222
2024-01-14 13:50:58.2045084,D:\Documents and Settings\Bob Hunter\Recent\CURREX~1.zip.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\CURREX~1.zip.lnk,785,E4C9F064C24004F1D6F09B19D56E206D9FD50914,False,2002-05-14 17:26:24.5155296,2002-05-14 17:26:24.5255440,2002-05-14 17:26:24.5255440,00:00:00.0015122
2024-01-14 13:50:58.2136795,D:\Documents and Settings\Bob Hunter\Recent\Desktop.ini,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Desktop.ini,150,2D14B16C7CF085D11A2EFCE62BACC782C6A9D6F9,False,2002-02-28 22:23:56.7219200,2002-02-28 22:23:56.7619776,2002-06-05 00:46:23.8147840,00:00:00.0064618
2024-01-14 13:50:58.2268001,D:\Documents and Settings\Bob Hunter\Recent\download.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\download.lnk,670,D33E4B35637B7EB42E20F032F568A6C316DE7027,False,2002-05-14 17:10:49.5911744,2002-06-05 00:24:33.5306880,2002-06-05 00:24:33.5306880,00:00:00
2024-01-14 13:50:58.2489702,D:\Documents and Settings\Bob Hunter\Recent\hourz11.zip.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\hourz11.zip.lnk,778,B0D135A63287ACB4E92ABC036320F482E732D6E9,False,2002-05-14 17:26:04.2563984,2002-05-14 17:26:04.2664128,2002-05-14 17:26:04.2664128,00:00:00
2024-01-14 13:50:58.2676060,D:\Documents and Settings\Bob Hunter\Recent\Hunter Pics.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Hunter Pics.lnk,588,A3C49937FB075B3AB17E9DB7EA6DD8A5532E37EC,False,2002-05-14 18:07:32.2808336,2002-06-03 22:45:52.3003904,2002-06-03 22:45:52.3003904,00:00:00.0038002
2024-01-14 13:50:58.2893119,D:\Documents and Settings\Bob Hunter\Recent\Hunter.log.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Hunter.log.lnk,863,8A6480752188D45E8C88401F348DB9596161103C,False,2002-05-14 17:12:59.4579136,2002-05-14 17:12:59.4679280,2002-05-14 17:12:59.4679280,00:00:00.0022526
2024-01-14 13:50:58.3075937,D:\Documents and Settings\Bob Hunter\Recent\index.htm.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\index.htm.lnk,267,1327601F00A27CBB31C96699CD7EA96CC66C1679,False,2002-06-03 20:05:20.5406000,2002-06-03 20:05:20.5906720,2002-06-03 20:05:20.5906720,00:00:00.0081130
2024-01-14 13:50:58.3229542,D:\Documents and Settings\Bob Hunter\Recent\moviemk.chm.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\moviemk.chm.lnk,841,FF2C9A0F02D80B07CE2D94896A997685CC86E12C,False,2002-06-04 23:54:07.0243888,2002-06-04 23:54:07.0344032,2002-06-04 23:54:07.0344032,00:00:00.0012855
2024-01-14 13:50:58.3454477,D:\Documents and Settings\Bob Hunter\Recent\Q309521.log.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Q309521.log.lnk,522,D88326B6E8E2A256EF990C9F4B29353C5427C39C,False,2002-06-03 22:28:17.1832064,2002-06-03 22:28:17.2432928,2002-06-03 22:28:17.2432928,00:00:00.0029953
2024-01-14 13:50:58.3608915,D:\Documents and Settings\Bob Hunter\Recent\receive.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\receive.lnk,822,439F82CEACAABAFD68944658536F8E36A1AA277B,False,2002-05-14 16:33:58.2818113,2002-06-03 22:20:09.3317104,2002-06-03 22:20:09.3317104,00:00:00
2024-01-14 13:50:58.3807634,D:\Documents and Settings\Bob Hunter\Recent\Removable Disk (C).lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Removable Disk (C).lnk,179,22CA775C26CC3E2558A7BA100DD7A6A472AEB440,False,2002-05-14 17:02:54.8585424,2002-05-14 19:08:11.6377792,2002-05-14 19:08:11.6377792,00:00:00
2024-01-14 13:50:58.4008890,D:\Documents and Settings\Bob Hunter\Recent\Sabrina and Christina.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Sabrina and Christina.lnk,744,A61125E153947E83570EF33E47A702955A6ECAD4,False,2002-06-03 23:55:43.5370928,2002-06-03 23:55:43.5471072,2002-06-03 23:55:43.5471072,00:00:00.0055020
2024-01-14 13:50:58.4199761,D:\Documents and Settings\Bob Hunter\Recent\Sabrina Dewercs.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Sabrina Dewercs.lnk,714,7C60F3A1CE92D90C3696A83E685624D429CDE5C4,False,2002-06-03 23:19:58.1321520,2002-06-04 23:46:08.6965872,2002-06-04 23:46:08.6965872,00:00:00.0041254
2024-01-14 13:50:58.4380249,D:\Documents and Settings\Bob Hunter\Recent\Sample Pictures.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Sample Pictures.lnk,662,F91030F5006E31C13096F6C0426F3B18269E77AC,False,2002-03-31 15:32:06.1016576,2002-03-31 15:55:10.3320832,2002-03-31 15:55:10.3320832,00:00:00.0145087
2024-01-14 13:50:58.4540066,D:\Documents and Settings\Bob Hunter\Recent\session.log.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\session.log.lnk,856,13041519CC8000B41A773DF5FC8FA6F6EAB332CA,False,2002-05-14 17:10:49.4609872,2002-06-05 00:14:31.4849888,2002-06-05 00:14:31.4849888,00:00:00
2024-01-14 13:50:58.4729008,D:\Documents and Settings\Bob Hunter\Recent\Special Interests - Tech Chat.log.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\Special Interests - Tech Chat.log.lnk,1000,1FB762DFBF59BCDDC5B416F77D63B1EEBE9E791A,False,2002-06-05 00:24:33.4806160,2002-06-05 00:24:33.4906304,2002-06-05 00:24:33.4906304,00:00:00
2024-01-14 13:50:58.4928992,D:\Documents and Settings\Bob Hunter\Recent\WINDOWS.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\WINDOWS.lnk,392,CB0AC6167E7224BCD4D4C645D83CE7B39BCAB28D,False,2002-06-03 22:28:17.3634656,2002-06-03 22:28:17.4035232,2002-06-03 22:28:17.4035232,00:00:00
2024-01-14 13:50:58.5060934,D:\Documents and Settings\Bob Hunter\Recent\X Drive.txt (2).lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\X Drive.txt (2).lnk,610,1C488F934C7E5F9D243D60880E15E23DEC7EFBD6,False,2002-06-04 23:58:41.2086464,2002-06-04 23:58:41.2186608,2002-06-04 23:58:41.2186608,00:00:00.0010703
2024-01-14 13:50:58.5280046,D:\Documents and Settings\Bob Hunter\Recent\X Drive.txt.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\X Drive.txt.lnk,554,E166C62DFACB6844B2BD08051422C88A16889E3B,False,2002-04-18 20:37:05.7829632,2002-04-18 20:37:05.8430496,2002-04-18 20:37:05.8430496,00:00:00.0094801
2024-01-14 13:50:58.5493981,D:\Documents and Settings\All Users\Desktop\Copernic 2001 Basic.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\All Users\Desktop\Copernic 2001 Basic.lnk,759,2938A9B834F97B61677AD6F0362C9781AF93E888,False,2002-06-03 16:40:45.6809968,2002-06-03 16:40:45.6809968,2002-06-04 22:57:33.0113248,00:00:00.0056969
2024-01-14 13:50:58.5693378,D:\Documents and Settings\All Users\Desktop\Yahoo! Messenger.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\All Users\Desktop\Yahoo! Messenger.lnk,702,DE341AA586BF53F32D76E375EBF99CD1D3CBC8CA,False,2002-05-14 16:22:00.5998353,2002-05-14 16:22:00.6098497,2002-06-04 23:35:52.7008288,00:00:00.0041588
2024-01-14 13:50:58.5920223,D:\Documents and Settings\Bob Hunter\Desktop\Agent.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Desktop\Agent.lnk,650,83E45A90CFB541FB64B9C7F5BD65F79AAF0F6797,False,2002-05-14 17:47:32.8192608,2002-05-14 17:23:35.6226736,2002-06-04 23:27:31.9407712,00:00:00.0018976
2024-01-14 13:50:58.6106423,D:\Documents and Settings\Bob Hunter\Desktop\AOL Instant Messenger (SM).lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Desktop\AOL Instant Messenger (SM).lnk,616,0C3E96CA83542556F128BCB1B24B6C894E6B5696,False,2002-03-01 15:39:16.6824432,2002-03-31 16:22:21.7078864,2002-06-03 20:26:56.0935136,00:00:00
2024-01-14 13:50:58.6315455,D:\Documents and Settings\Bob Hunter\Desktop\Shortcut to Christina Detsiwt.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Desktop\Shortcut to Christina Detsiwt.lnk,289,64AD6EC19D57369ED4FFFA0D1857F5576B3DC0A1,False,2002-06-04 00:02:42.5696320,2002-06-04 00:02:42.5796464,2002-06-04 22:57:32.5907200,00:00:00.0032148
2024-01-14 13:50:58.6469203,D:\Documents and Settings\Bob Hunter\Desktop\Shortcut to Removable Disk (G).lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Desktop\Shortcut to Removable Disk (G).lnk,179,116FEBA7F7F44B9B792E250E3C907164879DEEBA,False,2002-06-05 00:06:50.8727488,2002-06-05 00:06:50.8727488,2002-06-05 00:06:50.8727488,00:00:00.0025390
2024-01-14 13:50:58.6633885,D:\Documents and Settings\Bob Hunter\Desktop\Shortcut to Sabrina and Christina.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Desktop\Shortcut to Sabrina and Christina.lnk,301,7C12E6198B03FE835CA9BFC35738756C479A8543,False,2002-06-04 00:02:47.8972928,2002-06-04 00:02:47.8972928,2002-06-04 22:57:32.5606768,00:00:00.0032647
